frame	id	x	y	warped_x	warped_y	peak_value	warped_pv	climbed_wpv	dis	pid
0	1	851.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	851.0000	5.0000	851.0000	5.0000	0.7481	0.7481	0.0000	0.0000	0.0000
0	2	844.0000	25.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	845.0000	26.0000	844.0000	25.0000	0.7729	0.7729	0.0000	0.0000	0.0000
0	3	870.0000	29.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	870.0000	30.0000	870.0000	29.0000	0.7997	0.7997	0.0000	0.0000	0.0000
0	4	887.0000	30.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	4	888.0000	30.0000	887.0000	30.0000	0.7787	0.7787	0.0000	0.0000	0.0000
0	5	838.0000	50.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	5	838.0000	50.0000	838.0000	50.0000	0.7807	0.7807	0.0000	0.0000	0.0000
0	6	793.0000	54.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	6	793.0000	54.0000	793.0000	54.0000	0.7911	0.7911	0.0000	0.0000	0.0000
0	7	847.0000	81.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	7	847.0000	80.0000	847.0000	81.0000	0.7946	0.7946	0.0000	0.0000	0.0000
0	8	783.0000	88.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	8	783.0000	88.0000	783.0000	88.0000	0.7822	0.7822	0.0000	0.0000	0.0000
0	9	834.0000	89.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	9	834.0000	89.0000	834.0000	89.0000	0.7990	0.7990	0.0000	0.0000	0.0000
0	10	867.0000	92.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	10	867.0000	93.0000	867.0000	92.0000	0.7869	0.7869	0.0000	0.0000	0.0000
0	11	835.0000	103.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	11	835.0000	103.0000	835.0000	103.0000	0.7350	0.7350	0.0000	0.0000	0.0000
0	12	850.0000	108.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	12	850.0000	107.0000	850.0000	108.0000	0.7934	0.7934	0.0000	0.0000	0.0000
0	13	663.0000	115.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	13	663.0000	114.0000	663.0000	115.0000	0.8142	0.8142	0.0000	0.0000	0.0000
0	14	865.0000	117.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	14	865.0000	118.0000	865.0000	117.0000	0.7675	0.7675	0.0000	0.0000	0.0000
0	15	884.0000	119.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	15	884.0000	119.0000	884.0000	119.0000	0.7867	0.7867	0.0000	0.0000	0.0000
0	16	783.0000	123.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	16	783.0000	123.0000	783.0000	123.0000	0.7995	0.7995	0.0000	0.0000	0.0000
0	17	664.0000	127.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	17	664.0000	127.0000	664.0000	127.0000	0.7676	0.7676	0.0000	0.0000	0.0000
0	18	865.0000	135.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	18	865.0000	135.0000	865.0000	135.0000	0.7739	0.7739	0.0000	0.0000	0.0000
0	19	844.0000	148.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	19	844.0000	146.0000	844.0000	148.0000	0.7957	0.7957	0.0000	0.0000	0.0000
0	20	866.0000	154.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	20	866.0000	155.0000	866.0000	154.0000	0.7584	0.7584	0.0000	0.0000	0.0000
0	21	750.0000	159.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	21	750.0000	159.0000	750.0000	159.0000	0.7992	0.7992	0.0000	0.0000	0.0000
0	22	894.0000	160.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	22	894.0000	160.0000	894.0000	160.0000	0.7249	0.7249	0.0000	0.0000	0.0000
0	23	785.0000	169.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	23	785.0000	169.0000	785.0000	169.0000	0.8030	0.8030	0.0000	0.0000	0.0000
0	24	904.0000	168.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	24	904.0000	168.0000	904.0000	168.0000	0.7986	0.7986	0.0000	0.0000	0.0000
0	25	865.0000	172.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	25	865.0000	172.0000	865.0000	172.0000	0.7896	0.7896	0.0000	0.0000	0.0000
0	26	878.0000	176.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
